friction_coeff,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
0.1,8.765514,78.581668,0.010416,0.000000
0.2,7.777219,61.449988,0.010634,0.000000
0.3,5.297975,32.513553,0.010926,0.000000
0.4,2.027796,9.448702,0.011259,0.000000
0.5,0.887003,2.787834,0.011151,0.000000
0.6,0.907941,1.171866,0.011261,0.000000
0.7,0.879667,1.097969,0.011552,0.000001
0.8,0.897849,1.135038,0.011950,0.000001
0.9,0.934293,1.214944,0.012417,0.000001
1.0,0.976691,1.310867,0.012933,0.000002
