robot,method,omega_rad_s,ee_linear_speed_m_s,mean_force_error,std_force_error,mean_position_error,std_position_error
fr3_jointf_surff,paper_pi,1.8850,0.1885,0.487672,0.782537,0.007637,0.003422
fr3_jointf_surff,paper_pi,2.1991,0.2199,0.627116,0.867516,0.007816,0.003191
fr3_jointf_surff,paper_pi,2.5133,0.2513,0.913451,1.351989,0.008423,0.002998
fr3_jointf_surff,paper_pi,2.8274,0.2827,1.494390,2.090351,0.010288,0.004220
fr3_jointf_surff,paper_pi,3.1416,0.3142,2.132747,2.538358,0.012164,0.005531
fr3_jointf_surff,paper_pi,3.4558,0.3456,2.755285,2.853412,0.014010,0.006741
fr3_jointf_surff,paper_pi,3.7699,0.3770,3.382157,2.963686,0.015661,0.007783
fr3_jointf_surff,paper_pi,4.0841,0.4084,3.969492,3.054106,0.017348,0.008737
fr3_jointf_surff,paper_pi,4.3982,0.4398,4.419126,3.197646,0.019054,0.009708
fr3_jointf_surff,paper_pi,4.7124,0.4712,5.095600,3.096301,0.020312,0.010298
fr3_jointf_surff,paper_pi,5.0265,0.5027,5.610476,3.367900,0.021756,0.011020
fr3_jointf_surff,paper_pi,5.3407,0.5341,6.284984,3.437652,0.023020,0.011411
fr3_jointf_surff,paper_pi,5.6549,0.5655,6.614482,3.518673,0.024166,0.011914
fr3_jointf_surff,paper_pi,5.9690,0.5969,6.579281,4.396288,0.025536,0.012985
fr3_jointf_surff,paper_pi,6.2832,0.6283,7.318290,5.048208,0.026159,0.012798
fr3_jointf_surff,paper_pi,6.5973,0.6597,8.196828,3.775170,0.026182,0.009760
fr3_jointf_surff,paper_pi,6.9115,0.6912,8.180727,3.939287,0.030547,0.012773
fr3_jointf_surff,paper_pi,7.2257,0.7226,8.163788,4.105348,0.037178,0.018859
fr3_jointf_surff,paper_pi,7.5398,0.7540,8.131624,4.282256,0.042066,0.023640
fr3_jointf_surff,paper_pi,7.8540,0.7854,8.097550,4.448997,0.046815,0.028419
fr3_jointf_surff,paper_pi,8.1681,0.8168,8.066593,4.612969,0.050383,0.031918
fr3_jointf_surff,paper_pi,8.4823,0.8482,8.028413,4.780269,0.053488,0.035144
fr3_jointf_surff,paper_pi,8.7965,0.8796,7.990860,4.933584,0.055377,0.036776
fr3_jointf_surff,paper_pi,9.1106,0.9111,7.951859,5.095019,0.056732,0.037961
fr3_jointf_surff,paper_pi,9.4248,0.9425,7.918868,5.233497,0.058387,0.039258
