robot,method,omega_rad_s,ee_linear_speed_m_s,mean_force_error,std_force_error,mean_position_error,std_position_error
fr3_jointf,paper,1.2000,0.1200,4.979924,1.812863,0.035098,0.015459
fr3_jointf,paper,1.6000,0.1600,5.946407,1.844416,0.039430,0.015856
fr3_jointf,paper_pi,0.3000,0.0300,0.740920,0.915676,0.022529,0.010632
fr3_jointf,paper_pi,0.6000,0.0600,1.381375,1.576322,0.030313,0.013758
fr3_jointf,paper_pi,0.9000,0.0900,1.809689,2.038340,0.035427,0.015516
fr3_jointf,paper_pi,1.2000,0.1200,2.204696,2.469975,0.039530,0.016211
fr3_jointf,paper_pi,1.6000,0.1600,2.509004,2.801115,0.044395,0.016294
fr3_jointf_surff,ff,0.3000,0.0300,1.642585,1.185894,0.019661,0.013140
fr3_jointf_surff,ff,0.6000,0.0600,2.114825,1.493930,0.023536,0.012816
fr3_jointf_surff,ff,0.9000,0.0900,2.907549,1.875408,0.027916,0.013306
fr3_jointf_surff,ff,1.2000,0.1200,3.852294,2.131621,0.031534,0.014338
fr3_jointf_surff,ff,1.6000,0.1600,5.009419,2.202889,0.035273,0.015216
fr3_jointf_surff,ff_pi,0.3000,0.0300,0.206750,0.261095,0.020303,0.012872
fr3_jointf_surff,ff_pi,0.6000,0.0600,0.548239,0.840678,0.025245,0.012635
fr3_jointf_surff,ff_pi,0.9000,0.0900,0.923524,1.432400,0.030161,0.013524
fr3_jointf_surff,ff_pi,1.2000,0.1200,1.260092,1.930120,0.034519,0.014745
fr3_jointf_surff,ff_pi,1.6000,0.1600,1.683463,2.482402,0.039412,0.015578
fr3_jointf_surff,pd,0.3000,0.0300,3.882274,0.404124,0.018957,0.013150
fr3_jointf_surff,pd,0.6000,0.0600,4.040474,0.662608,0.022123,0.012464
fr3_jointf_surff,pd,0.9000,0.0900,4.385110,1.085429,0.026554,0.012730
fr3_jointf_surff,pd,1.2000,0.1200,4.776639,1.403509,0.030645,0.013933
fr3_jointf_surff,pd,1.6000,0.1600,5.299602,1.691244,0.035139,0.015010
fr3_jointf_surff,paper,0.3000,0.0300,0.969040,0.140302,0.020007,0.012917
fr3_jointf_surff,paper,0.6000,0.0600,1.269688,0.794568,0.024361,0.012496
fr3_jointf_surff,paper,0.9000,0.0900,1.831795,1.407861,0.028958,0.013050
fr3_jointf_surff,paper,1.2000,0.1200,2.520275,1.904806,0.033150,0.014177
fr3_jointf_surff,paper,1.6000,0.1600,3.575937,2.275213,0.037396,0.015020
fr3_jointf_surff,paper_pi,0.3000,0.0300,0.049064,0.072058,0.020284,0.012854
fr3_jointf_surff,paper_pi,0.6000,0.0600,0.301986,0.720959,0.025205,0.012505
fr3_jointf_surff,paper_pi,0.9000,0.0900,0.678132,1.317293,0.030193,0.013355
fr3_jointf_surff,paper_pi,1.2000,0.1200,1.074488,1.872089,0.034651,0.014628
fr3_jointf_surff,paper_pi,1.6000,0.1600,1.528589,2.453799,0.039587,0.015427
