"Step","eval_ppo_run_20260304_115524 - force_error","eval_ppo_run_20260304_115524 - force_error__MIN","eval_ppo_run_20260304_115524 - force_error__MAX"
"0","35.266414404555334","35.266414404555334","35.266414404555334"
"1","0.8852978745642464","0.8852978745642464","0.8852978745642464"
"2","-3.075890953495872","-3.075890953495872","-3.075890953495872"
"3","-3.8025165688954683","-3.8025165688954683","-3.8025165688954683"
"4","-1.2830583804009166","-1.2830583804009166","-1.2830583804009166"
"5","0.349566313549996","0.349566313549996","0.349566313549996"
"6","0.808178554697438","0.808178554697438","0.808178554697438"
"7","0.9579765917249841","0.9579765917249841","0.9579765917249841"
"8","1.0580442494873576","1.0580442494873576","1.0580442494873576"
"9","1.1066300887680978","1.1066300887680978","1.1066300887680978"
"10","1.046755759907244","1.046755759907244","1.046755759907244"
"11","0.8922926222844403","0.8922926222844403","0.8922926222844403"
"12","0.6703162772513167","0.6703162772513167","0.6703162772513167"
"13","0.5179549916906616","0.5179549916906616","0.5179549916906616"
"14","0.4539295489757418","0.4539295489757418","0.4539295489757418"
"15","0.40845212683857923","0.40845212683857923","0.40845212683857923"
"16","0.34747887239880804","0.34747887239880804","0.34747887239880804"
"17","0.20320825192672132","0.20320825192672132","0.20320825192672132"
"18","-0.08277093990119067","-0.08277093990119067","-0.08277093990119067"
"19","0.41461991076783633","0.41461991076783633","0.41461991076783633"
"20","1.9633592829041948","1.9633592829041948","1.9633592829041948"
"21","1.5550979973597165","1.5550979973597165","1.5550979973597165"
"22","0.906767294825066","0.906767294825066","0.906767294825066"
"23","0.42394039944765005","0.42394039944765005","0.42394039944765005"
"24","-0.3865271021445702","-0.3865271021445702","-0.3865271021445702"
"25","-1.4262461192638272","-1.4262461192638272","-1.4262461192638272"
"26","-2.232129602619194","-2.232129602619194","-2.232129602619194"
"27","-2.3143388076764086","-2.3143388076764086","-2.3143388076764086"
"28","-1.9809745775114846","-1.9809745775114846","-1.9809745775114846"
"29","-1.4946811851708572","-1.4946811851708572","-1.4946811851708572"
"30","-0.9755135882028938","-0.9755135882028938","-0.9755135882028938"
"31","-0.14643897370909542","-0.14643897370909542","-0.14643897370909542"
"32","1.6002830570317705","1.6002830570317705","1.6002830570317705"
"33","2.144925609203252","2.144925609203252","2.144925609203252"
"34","1.8845398848514012","1.8845398848514012","1.8845398848514012"
"35","1.5847169933818002","1.5847169933818002","1.5847169933818002"
"36","1.1570753224046797","1.1570753224046797","1.1570753224046797"
"37","0.7290487378044723","0.7290487378044723","0.7290487378044723"
"38","0.3204015536721325","0.3204015536721325","0.3204015536721325"
"39","0.12537973470282182","0.12537973470282182","0.12537973470282182"
"40","0.0527849323463343","0.0527849323463343","0.0527849323463343"
"41","0.014861130558319502","0.014861130558319502","0.014861130558319502"
"42","-0.06407071942367448","-0.06407071942367448","-0.06407071942367448"
"43","-0.27160684447867744","-0.27160684447867744","-0.27160684447867744"
"44","0.6104774732809073","0.6104774732809073","0.6104774732809073"
"45","2.012500654077124","2.012500654077124","2.012500654077124"
"46","1.451744910066358","1.451744910066358","1.451744910066358"
"47","0.7923638494699983","0.7923638494699983","0.7923638494699983"
