friction_coeff,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
0.1,7.223515,86.393753,0.010653,0.000000
0.2,7.001507,76.763743,0.010698,0.000000
0.3,5.537436,50.011166,0.010611,0.000000
0.4,2.947152,19.504865,0.010790,0.000000
0.5,0.286575,0.312035,0.011195,0.000000
0.6,0.277885,0.132876,0.011250,0.000000
0.7,0.307786,0.158261,0.011537,0.000001
0.8,0.325420,0.174962,0.011932,0.000001
0.9,0.335132,0.184274,0.012403,0.000001
1.0,0.337165,0.185220,0.012926,0.000002
